Occupation and age (years)             ,,,,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
               40–49,"487,000","23,000","27,000","5,500","452,000","23,000","90,000","9,000","11,000","3,000","114,000","10,000"
               50–59,"379,000","20,500","12,000","3,000","346,000","20,000","61,000","7,000","14,000","4,500","119,000","11,000"
               60–75,"258,000","16,000","7,000","2,500","226,000","15,500","38,000","5,000","9,000","2,500","84,000","8,000"
          Manager,"1,684,000","45,500","67,000","6,500","1,601,000","45,500","243,000","13,500","55,000","8,500","366,000","17,500"
               < 30,"54,000","7,000","3,000","2,000","49,000","6,000","10,000","3,000",S,S,"6,000","2,500"
               30–39,"327,000","19,000","13,000","3,000","318,000","19,000","35,000","5,000","22,000","5,000","61,000","9,000"
               40–49,"512,000","22,000","26,000","4,500","491,000","21,500","78,000","8,000","10,000","3,500","100,000","8,500"
               50–59,"517,000","21,500","17,000","3,500","485,000","21,000","74,000","7,500","17,000","4,500","129,000","10,500"
               60–75,"275,000","14,000","8,000","2,000","259,000","13,500","44,000","5,500","5,000","1,500","69,000","7,000"
          Postsecondary teacher,"188,000","10,000","2,000","1,000","54,000","6,000","70,000","5,500","180,000","10,000","29,000","3,500"
               < 30,"14,000","2,500",S,S,"2,000","1,000","7,000","2,000","13,000","2,500","2,000","1,000"
               30–39,"45,000","5,000",D,D,"15,000","3,500","17,000","2,500","44,000","5,000","6,000","1,500"
               40–49,"37,000","4,000",D,D,"8,000","2,000","18,000","3,000","37,000","4,000","6,000","1,500"
               50–59,"45,000","6,000",D,D,"16,000","4,500","14,000","2,000","42,000","6,000","8,000","2,000"
               60–75,"47,000","4,500",S,S,"13,000","2,500","15,000","2,500","45,000","4,500","7,000","1,500"
          Precollege/ other teacher,"821,000","39,500","9,000","3,500","235,000","15,000","110,000","14,000","816,000","39,500","135,000","13,000"
               < 30,"101,000","10,000",D,D,"41,000","6,000","15,000","4,500","101,000","10,000","22,000","4,500"
               30–39,"184,000","15,000",D,D,"59,000","7,500","24,000","6,000","180,000","14,500","25,000","5,000"
               40–49,"217,000","18,500","3,000","1,500","46,000","7,000","41,000","9,000","217,000","18,500","41,000","8,500"
               50–59,"204,000","16,500",D,D,"56,000","8,000","24,000","5,500","202,000","16,500","36,000","6,500"
               60–75,"116,000","11,500",D,D,"32,000","6,000","5,000","2,500","116,000","11,500","11,000","3,000"
          Sales/ marketing,"1,419,000","55,000","26,000","4,500","1,341,000","51,500","195,000","14,000","49,000","7,000","300,000","18,000"
               < 30,"222,000","20,000","3,000","1,500","207,000","18,000","46,000","8,000","7,000","3,500","43,000","7,000"
               30–39,"313,000","21,500","7,000","2,000","294,000","20,000","60,000","8,000","14,000","3,500","57,000","7,000"
               40–49,"354,000","20,000","7,000","2,500","334,000","19,000","45,000","5,500","7,000","2,500","84,000","10,000"
               50–59,"276,000","17,500","4,000","1,500","264,000","16,500","30,000","4,500","8,000","2,500","63,000","8,500"
               60–75,"254,000","17,000","6,000","2,500","242,000","16,500","14,000","3,500","14,000","4,500","53,000","7,500"
          Social service/ related,"844,000","28,000","4,000","1,500","389,000","16,500","119,000","11,500","194,000","14,000","677,000","26,000"
               < 30,"139,000","11,000",S,S,"55,000","7,000","24,000","4,000","38,000","5,500","113,000","9,500"
               30–39,"218,000","13,500",D,D,"110,000","9,500","31,000","6,500","46,000","6,500","170,000","11,500"
               40–49,"174,000","12,500",D,D,"79,000","8,000","30,000","6,000","42,000","6,500","140,000","11,000"
               50–59,"177,000","12,500","1,000","1,000","80,000","8,500","24,000","5,000","37,000","6,500","140,000","12,000"
               60–75,"136,000","11,000",D,D,"64,000","8,000","10,000","3,000","32,000","5,000","114,000","10,500"
          Other non-S&E,"3,302,000","79,000","110,000","16,000","2,190,000","57,500","427,000","21,000","254,000","16,500","1,852,000","49,000"
               < 30,"532,000","27,500","16,000","5,000","321,000","19,000","103,000","11,000","46,000","7,000","290,000","19,000"
               30–39,"827,000","33,500","44,000","11,500","553,000","26,500","110,000","9,500","64,000","8,000","453,000","23,500"
               40–49,"697,000","30,500","18,000","5,000","492,000","26,500","98,000","11,500","55,000","7,500","373,000","19,500"
               50–59,"704,000","30,500","14,000","4,500","494,000","25,000","72,000","9,500","41,000","6,000","406,000","25,000"
               60–75,"543,000","23,500","18,000","5,500","329,000","17,000","44,000","7,500","48,000","9,000","331,000","17,500"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
