"Table 9-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                    Native-born,"19,000","3,000","13,000","2,500","3,000","1,000",S,S,S,S
                    Naturalized,"1,000",500,"1,000",500,D,D,D,D,*,*
               Non-U.S. citizen,*,*,D,D,D,D,D,D,D,D
                    Permanent resident,*,*,D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Other non-S&E,"33,000","4,500","23,000","4,000","6,000","2,500","1,000",500,"3,000","1,000"
               U.S. citizen,"27,000","4,000","18,000","3,000","5,000","2,500","1,000",500,"3,000","1,000"
                    Native-born,"22,000","3,500","14,000","2,500","5,000","2,500","1,000",500,"3,000","1,000"
                    Naturalized,"5,000","2,000","4,000","2,000",*,*,D,D,*,*
               Non-U.S. citizen,"6,000","2,000","5,000","2,000","1,000",500,D,D,D,D
                    Permanent resident,"6,000","2,000","5,000","2,000","1,000",500,D,D,D,D
                    Temporary resident,*,*,D,D,D,D,D,D,D,D
,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,
,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,
,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,
,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,
,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,
,,,,,,,,,,
