"Table 14-4. Median annual salaries of employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Sales/ marketing,"65,000","24,500","59,000","27,000",D,D,D,D,D,D
               U.S. citizen,"58,000","29,000",S,S,D,D,D,D,D,D
                    Native-born,"51,000","12,500","51,000","11,500",D,D,D,D,D,D
                    Naturalized,"115,000","15,500","115,000","15,000",D,D,D,D,D,D
               Non-U.S. citizen,"105,000","24,000","105,000","24,000",D,D,D,D,D,D
                    Permanent resident,"107,000","50,500","107,000","50,500",D,D,D,D,D,D
                    Temporary resident,*,*,*,*,D,D,D,D,D,D
          Social service-related,"54,000","9,000","49,000","2,500","62,000",500,S,S,S,S
               U.S. citizen,"52,000","9,500","49,000","2,500","62,000",500,S,S,S,S
                    Native-born,"55,000","9,000","49,000","3,500","62,000",500,S,S,S,S
                    Naturalized,"46,000","8,000","45,000","6,000",D,D,D,D,*,*
               Non-U.S. citizen,*,*,D,D,D,D,D,D,D,D
                    Permanent resident,*,*,D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Other non-S&E,"60,000","3,000","50,000","14,500","64,000","2,000",S,S,"80,000","28,000"
               U.S. citizen,"59,000","2,000","49,000","24,000","65,000","2,000",S,S,"80,000","30,500"
                    Native-born,"60,000","14,500","58,000","5,000","65,000","2,000",S,S,"75,000","31,500"
                    Naturalized,"26,000","2,500","25,000","2,500",*,*,D,D,*,*
               Non-U.S. citizen,S,S,S,S,"58,000","6,000",D,D,D,D
                    Permanent resident,S,S,S,S,D,D,D,D,D,D
                    Temporary resident,*,*,D,D,D,D,D,D,D,D
,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,
,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,
,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,
,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,
,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,
,,,,,,,,,,
