"Table 14-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                    Temporary resident,S,S,D,D,D,D,S,S,D,D
          Sales/ marketing,"65,000","5,500","65,000","6,000","50,000","18,500",D,D,"83,000","14,000"
               U.S. citizen,"65,000","5,000","65,000","6,500","50,000","18,500",D,D,"83,000","14,000"
                    Native-born,"68,000","6,500","68,000","7,500","41,000","14,500",D,D,"85,000","14,000"
                    Naturalized,"62,000","1,000","62,000","1,000",D,D,D,D,D,D
               Non-U.S. citizen,"69,000","29,500","69,000","29,500",D,D,D,D,D,D
                    Permanent resident,"45,000","12,500","45,000","12,500",D,D,D,D,D,D
                    Temporary resident,"143,000","17,000","143,000","17,000",D,D,D,D,D,D
          Social service-related,"46,000","1,500","41,000","1,500","45,000","2,000","54,000","2,000","55,000","3,000"
               U.S. citizen,"47,000","2,000","42,000","2,500","44,000","1,500","54,000","2,000","56,000","3,000"
                    Native-born,"46,000","1,500","41,000","2,500","44,000","3,000","54,000","2,000","57,000","4,000"
                    Naturalized,"53,000","5,000","52,000","8,500","60,000","8,000","55,000","10,000","46,000","3,500"
               Non-U.S. citizen,"33,000","6,000","31,000","4,500",S,S,D,D,D,D
                    Permanent resident,"32,000","6,000","31,000","5,000",S,S,D,D,D,D
                    Temporary resident,"41,000","7,500",D,D,D,D,D,D,D,D
          Other non-S&E,"37,000","2,500","35,000","3,500","30,000","1,500","21,000","4,500","52,000","2,500"
               U.S. citizen,"38,000","2,000","37,000","4,500","31,000","2,500","22,000","5,000","53,000","2,500"
                    Native-born,"38,000","2,500","34,000","4,000","31,000","2,500","21,000","5,500","54,000","3,000"
                    Naturalized,"44,000","4,000","43,000","3,500","39,000","13,500","33,000","14,000","50,000","5,000"
               Non-U.S. citizen,"27,000","6,000","27,000","6,500",S,S,D,D,D,D
                    Permanent resident,"23,000","10,500","19,000","3,000",S,S,D,D,D,D
                    Temporary resident,"28,000","2,000","30,000","6,500","16,000","1,500",D,D,D,D
,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,
,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,
,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,
,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,
,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,
,,,,,,,,,,
