"Table 16-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Level of highest degree, occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
                         White,"106,000","4,000","85,000","6,500","103,000","5,500","99,000","13,000","119,000","2,500","108,000","5,500","120,000","5,500","104,000","27,500","126,000","12,000"
                         Other racec,"97,000","5,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
               Industrial engineers,"89,000","8,500","82,000","30,500","76,000","4,500","111,000","13,500",D,D,"77,000","2,000",S,S,S,S,D,D
                    Hispanic or Latinoa ,"61,000","15,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"92,000","8,000","67,000","14,500","72,000","4,000",D,D,D,D,D,D,D,D,D,D,D,D
                         Black or African American,"109,000","9,500",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"84,000","15,000","100,000","8,500","76,000","6,000",*,*,D,D,D,D,D,D,S,S,D,D
                         Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Mechanical engineers,"92,000","3,000","74,000","5,000","88,000","3,000","109,000","8,000","109,000","9,500","113,000","14,000","111,000","11,000","101,000","5,000","117,000","3,000"
                    Hispanic or Latinoa ,"86,000","5,000","86,000","6,000",*,*,D,D,D,D,*,*,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"86,000","5,000","59,000","4,500","85,000","6,000","93,000","13,000","91,000","15,500",*,*,*,*,D,D,"114,000","4,000"
                         Black or African American,"74,000","7,000",S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"96,000","3,000","75,000","2,000","89,000","2,000","109,000","6,500","115,000","16,000","119,000","9,000","111,000","9,000","101,000","5,500","115,000","12,500"
                         Other racec,"74,000","5,500","72,000","9,500",*,*,D,D,D,D,D,D,D,D,D,D,D,D
               Postsecondary teachers - engineering,"26,000","6,500","20,000","1,000","26,000","6,000",D,D,S,S,D,D,D,D,D,D,D,D
                    Hispanic or Latinoa ,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"18,000","1,500","17,000","2,500",D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Black or African American,*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"38,000","10,500","25,000","5,500",S,S,D,D,S,S,D,D,D,D,D,D,D,D
                         Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Other engineers,"94,000","3,000","69,000","5,000","100,000","7,500","94,000","5,500","99,000","4,500","102,000","8,500","105,000","5,000","133,000","9,000","80,000","20,500"
                    Hispanic or Latinoa ,"82,000","10,500","63,000","31,000","88,000","9,000",D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"84,000","4,000","60,000","10,000","81,000","3,000","102,000","14,500","99,000","11,500",D,D,D,D,*,*,D,D
                         Black or African American,"93,000","11,000",S,S,"103,000","20,000",D,D,D,D,D,D,D,D,D,D,D,D
                         White,"97,000","5,000","72,000","6,000","99,000","2,500","93,000","4,500","99,000","5,500","103,000","8,500","105,000","5,500","140,000","9,500","80,000","23,000"
                         Other racec,"97,000","8,000",*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     S&E-related occupations,"68,000","2,000","58,000","1,500","65,000","1,000","70,000",500,"80,000","1,000","79,000","3,000","70,000","5,500","80,000","3,500","59,000","4,500"
          Hispanic or Latinoa ,"65,000","3,500","62,000","4,000","64,000","2,500","84,000","17,500","70,000","16,500","120,000","3,000","61,000","19,000","100,000","14,500",S,S
          Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Nativeb,"81,000","8,500","59,000","6,000",S,S,D,D,D,D,D,D,D,D,D,D,D,D
               Asian,"80,000","3,000","66,000","12,500","77,000","10,000","87,000","9,500","110,000","5,500","98,000","1,500","97,000","22,500",S,S,"79,000","20,000"
               Black or African American,"70,000","3,000","68,000","11,000","69,000",500,S,S,"85,000","7,000","72,000","14,000","57,000","7,500","71,000","2,500","37,000","3,000"
               White,"65,000","2,000","56,000","4,000","63,000","1,000","70,000",500,"80,000","3,000","75,000","2,000","70,000","7,000","78,000","5,500","59,000","8,000"
               Other racec,"80,000","6,000","58,000","15,500","77,000","7,500","81,000","7,000",D,D,"149,000","17,000",D,D,D,D,S,S
          Health occupations,"65,000","1,500","60,000","2,000","67,000","3,500","70,000","1,500","70,000","2,000","69,000","1,500","57,000","6,000","65,000","7,000","58,000","11,500"
               Hispanic or Latinoa ,"69,000","3,000","62,000","7,000","61,000","4,500","74,000","14,000","69,000","3,000",D,D,D,D,S,S,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"80,000","16,000","58,000","8,500",D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"62,000","5,000","54,000","9,500","67,000","6,500","65,000","17,500","52,000","18,000","60,000","5,000",D,D,D,D,D,D
                    Black or African American,"68,000","3,500","60,000","4,500","73,000","6,000",S,S,"68,000","15,500",D,D,D,D,"70,000","2,000",D,D
                    White,"65,000",500,"60,000","3,000","65,000","4,000","70,000","2,000","70,000","3,000","66,000","3,500","55,000","6,000","61,000","2,500","57,000","12,000"
                    Other racec,"80,000","7,500","75,000","21,500","83,000","7,500",D,D,D,D,D,D,D,D,D,D,D,D
"          S&E managers, including health","110,000","3,000","92,000","8,500","91,000","7,500","119,000","13,000","123,000","5,500","115,000","10,000","146,000","13,000","127,000","30,500","99,000","14,500"
               Hispanic or Latinoa ,"115,000","25,000","94,000","5,500","83,000","20,500","99,000","45,000","111,000","24,500",D,D,D,D,D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"121,000","4,000","91,000","9,000","103,000","13,000","115,000","13,500","139,000","14,000","147,000","20,500","151,000","15,000",S,S,D,D
                    Black or African American,"85,000","3,000","84,000","3,000","70,000",500,S,S,"128,000","43,500",D,D,D,D,D,D,D,D
                    White,"114,000","6,500","94,000","13,500","97,000","4,000","119,000","11,000","120,000","4,000","110,000","5,500","139,000","15,000","127,000","33,500","99,000","22,000"
                    Other racec,"102,000","3,500",S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
          S&E precollege teacher,"55,000","1,500","48,000","4,500","52,000","4,000","60,000","2,500","69,000","5,000","65,000","5,000","58,000","5,000","79,000","19,000","49,000","1,500"
               Hispanic or Latinoa ,"60,000","3,500","49,000","7,500","59,000","1,000","66,000","14,500",S,S,S,S,D,D,D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"60,000","7,000","38,000","3,000","63,000","5,500","73,000","13,000","72,000","6,000",D,D,*,*,D,D,D,D
                    Black or African American,"48,000","5,000","44,000","3,000","48,000","2,500",S,S,S,S,D,D,S,S,D,D,D,D
                    White,"55,000","1,500","48,000","3,000","52,000","3,000","60,000","3,000","67,000","2,500","65,000","5,500","55,000","7,500","80,000","20,500","48,000","23,000"
                    Other racec,"62,000","1,000","43,000","7,500","60,000","5,000",S,S,D,D,D,D,D,D,D,D,D,D
          S&E technician/ technologist,"80,000","3,000","71,000","3,500","74,000","10,000","87,000","5,000","91,000","5,500","98,000","7,500","99,000","6,500","80,000","8,000","88,000","16,000"
               Hispanic or Latinoa ,"66,000","4,000","65,000","2,500",S,S,D,D,D,D,D,D,D,D,D,D,S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"83,000","4,500","72,000","5,000","79,000","12,500","98,000","14,500","98,000","8,500","96,000","1,500","97,000","47,000","100,000","39,500",*,*
                    Black or African American,"71,000","16,000","56,000","24,000",*,*,D,D,D,D,D,D,D,D,S,S,D,D
                    White,"80,000","4,000","71,000","5,500","70,000","3,000","86,000","6,000","90,000","7,000","84,000","23,500","100,000","8,000","79,000","32,000","93,000","29,000"
                    Other racec,S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Other S&E-related,"72,000","7,000","53,000","2,500","63,000","2,500","78,000","6,000","70,000","34,000","76,000","3,500",D,D,"99,000",500,"99,000","5,500"
               Hispanic or Latinoa ,"59,000","6,500",D,D,D,D,D,D,S,S,D,D,D,D,D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"68,000","8,000","56,000","17,500",D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Black or African American,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"75,000","4,000","54,000","4,000","63,000","8,500","74,000","20,000","82,000","24,500",D,D,D,D,D,D,"99,000","8,000"
                    Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     Non-S&E occupations,"60,000","1,000","50,000",500,"57,000","2,500","70,000","4,000","64,000","3,000","75,000","2,500","75,000","3,500","66,000","7,000","54,000","6,500"
          Hispanic or Latinoa ,"58,000","1,500","48,000","3,500","53,000","7,000","78,000","8,500","73,000","11,500","67,000","15,500","64,000","4,000","72,000","14,000",S,S
          Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Nativeb,S,S,"34,000","4,000",*,*,D,D,D,D,D,D,D,D,D,D,D,D
               Asian,"70,000","3,000","64,000","5,000","77,000","5,000","81,000","14,500","71,000","17,000","77,000","15,500","59,000","4,000","116,000","49,500","49,000","17,500"
               Black or African American,"55,000","3,000","52,000","3,500","56,000","6,500","70,000","5,500","60,000","8,000","49,000",500,S,S,S,S,"69,000","20,000"
               White,"61,000","2,000","48,000","5,000","56,000","2,500","65,000","3,500","64,000","4,000","79,000","4,000","78,000","4,000","69,000","6,000","56,000","5,500"
               Other racec,"58,000","4,500","47,000","9,500","58,000","7,000","58,000","7,000","52,000","15,500","60,000","10,000",S,S,S,S,S,S
          Arts/ humanities/ related,"37,000","4,500","53,000","16,500","50,000","7,500","23,000","10,500","19,000","8,500",S,S,S,S,"11,000","3,500",S,S
               Hispanic or Latinoa ,"69,000","10,500","63,000","15,500",S,S,D,D,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"39,000","13,500","46,000","17,000","50,000",500,D,D,D,D,D,D,D,D,D,D,D,D
                    Black or African American,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"37,000","3,000",S,S,"40,000","10,000",S,S,"19,000","9,500",S,S,S,S,S,S,S,S
                    Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Management-related,"85,000","2,000","68,000","3,500","87,000","4,500","92,000","4,500","100,000","9,500","106,000","10,000","79,000","12,000","80,000","10,500","93,000","20,500"
               Hispanic or Latinoa ,"72,000","2,500","59,000","9,500","71,000","5,500","137,000","22,500","46,000","8,000","73,000",500,S,S,S,S,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"91,000","6,000","81,000","7,500","100,000","3,500","93,000","10,000","110,000","14,500","79,000","3,000","56,000","16,000",S,S,S,S
                    Black or African American,"74,000","3,500","59,000","1,000","75,000","14,000","91,000","5,500",S,S,S,S,S,S,S,S,D,D
                    White,"87,000","3,500","68,000","5,000","87,000","4,000","86,000","12,000","100,000","15,500","110,000","8,000","89,000","18,000","82,000","10,500","101,000","15,500"
                    Other racec,"79,000","30,500","105,000","33,500","101,000","20,000",*,*,D,D,D,D,D,D,D,D,D,D
          Non-S&E manager,"113,000","3,500","85,000","13,500","102,000","11,000","109,000","4,500","118,000","4,500","149,000","13,000","145,000","5,000","121,000","11,000","97,000","4,000"
               Hispanic or Latinoa ,"96,000","6,500","63,000","1,000","94,000","4,500","105,000","4,000","93,000","21,000","127,000","32,500","131,000","5,500","92,000","20,000",D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"149,000","1,500","108,000","34,000","108,000","9,500","138,000","45,500","145,000","27,500","176,000","40,500","193,000","33,000","221,000","37,000","158,000","21,000"
                    Black or African American,"94,000","4,000","108,000","5,000","83,000","1,000","94,000","18,000","107,000","9,500","96,000","6,000","86,000","12,500",D,D,"79,000","5,500"
                    White,"118,000","4,000","85,000","14,000","119,000","8,000","108,000","7,000","118,000","5,500","150,000","15,000","144,000","9,500","119,000","4,500","98,000","4,500"
                    Other racec,"103,000","11,500","66,000","25,500","94,000","15,500",D,D,S,S,S,S,D,D,D,D,D,D
          Non-S&E postsecondary teacher,"26,000","4,000","19,000","2,000","28,000","13,000","47,000","11,500",S,S,"42,000","21,000","52,000","5,000",S,S,"18,000","5,500"
               Hispanic or Latinoa ,"25,000","2,000","21,000","3,000",S,S,D,D,S,S,D,D,D,D,D,D,S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"18,000","3,000",S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                    Black or African American,"39,000","13,500",S,S,D,D,S,S,*,*,D,D,D,D,D,D,D,D
                    White,"25,000","5,000","18,000","1,500","35,000","16,500","47,000","15,500",S,S,S,S,"53,000","9,500",S,S,"18,000","6,500"
                    Other racec,"53,000","22,500",*,*,S,S,D,D,D,D,D,D,D,D,D,D,D,D
          Non-S&E precollege/ other teacher,"50,000","1,000","45,000","2,500","48,000","1,500","58,000","4,000","62,000","2,500","49,000",500,"60,000","4,000","51,000","12,500","68,000","23,500"
               Hispanic or Latinoa ,"50,000","2,000","56,000","3,000","42,000","6,000","66,000","9,000",D,D,S,S,S,S,S,S,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"54,000","6,000","55,000","3,000","53,000","10,000","56,000","27,000",D,D,"30,000","5,000",D,D,D,D,D,D
                    Black or African American,"49,000",500,"50,000","3,500","50,000","12,500","41,000","7,500",D,D,"49,000",500,D,D,D,D,S,S
                    White,"51,000","2,000","42,000","2,000","48,000","3,500","60,000","4,500","63,000","1,500","49,000","5,000","60,000","3,500","52,000","4,000","63,000","25,000"
                    Other racec,"50,000","5,000","66,000","2,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Sales/ marketing,"65,000","5,500","60,000","6,000","74,000","9,000","98,000","16,000","51,000","26,000","81,000","10,500","65,000","3,500","73,000","14,500","30,000","5,000"
               Hispanic or Latinoa ,"64,000",500,"48,000","3,500",S,S,S,S,S,S,D,D,D,D,D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"70,000","8,000","60,000","15,500","117,000","21,500","76,000","23,500",S,S,S,S,S,S,D,D,"29,000","4,000"
                    Black or African American,"56,000","17,000","62,000","7,500","99,000","42,000",D,D,D,D,D,D,D,D,D,D,D,D
                    White,"68,000","7,500","61,000","7,500","61,000","9,500","94,000","22,500","72,000","10,500","86,000","8,000","70,000","28,000","73,000","10,500","34,000","13,500"
                    Other racec,S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Social service/ related,"46,000","1,500","38,000","2,000","49,000","3,000","51,000","2,000","54,000","2,000","59,000","11,000","46,000","5,000","54,000","4,500","52,000","5,500"
               Hispanic or Latinoa ,"49,000","3,500","40,000","6,000","58,000","2,500","55,000","2,000",S,S,D,D,"46,000","12,500",D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"55,000","6,000","45,000","5,000","58,000","7,000",S,S,D,D,S,S,D,D,D,D,D,D
                    Black or African American,"45,000","1,500","40,000","2,000","45,000","2,500","52,000","17,500","61,000","4,000",D,D,D,D,D,D,D,D
                    White,"46,000","2,000","37,000","1,500","47,000","2,000","49,000","4,500","54,000","4,000","59,000","8,000","46,000","4,500","53,000","5,000","53,000","5,500"
                    Other racec,"49,000","6,500","41,000","2,500","53,000","9,500",D,D,D,D,D,D,D,D,D,D,D,D
          Other non-S&E,"37,000","2,500","40,000","4,000","37,000","6,500","43,000","4,500","36,000","8,500","32,000","6,000","25,000","7,500","49,000","8,000","17,000","2,500"
               Hispanic or Latinoa ,"38,000","1,000","36,000","2,500","37,000","8,500",S,S,D,D,D,D,S,S,D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"40,000","4,500","31,000",500,S,S,"47,000","5,000","40,000",500,"35,000","1,000","29,000","5,000",D,D,"47,000","17,000"
                    Black or African American,"45,000","5,500","44,000","7,000",S,S,"45,000","21,000","41,000","1,500",S,S,D,D,D,D,D,D
                    White,"32,000","4,500","44,000","4,500","32,000","2,500","41,000","6,000","31,000","2,500","31,000","4,500","23,000","8,000","50,000","7,000",S,S
                    Other racec,"36,000","5,000",S,S,"46,000","6,500",D,D,D,D,D,D,D,D,D,D,D,D
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
