"Table 9-1. Employed U.S. scientists and engineers at all degree levels, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
Occupation and citizenship status             ,,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                    Temporary resident,"33,000","5,000","32,000","5,000",*,*,D,D,D,D
          Non-S&E manager,"1,684,000","45,500","1,342,000","37,500","75,000","6,500","102,000","12,000","165,000","12,500"
               U.S. citizen,"1,610,000","45,000","1,270,000","36,500","74,000","6,000","102,000","12,000","165,000","12,500"
                    Native-born,"1,438,000","43,000","1,125,000","34,500","70,000","6,000","89,000","10,000","154,000","12,000"
                    Naturalized,"172,000","11,500","145,000","9,500","4,000","1,000","13,000","6,500","11,000","2,500"
               Non-U.S. citizen,"74,000","8,000","72,000","8,000","1,000","1,000",S,S,D,D
                    Permanent resident,"54,000","6,000","52,000","5,500","1,000","1,000",S,S,D,D
                    Temporary resident,"20,000","5,000","20,000","5,000",D,D,D,D,D,D
          Non-S&E postsecondary teacher,"188,000","10,000",D,D,"142,000","8,500","45,000","6,000",D,D
               U.S. citizen,"172,000","9,500",D,D,"130,000","8,000","42,000","5,500",D,D
                    Native-born,"156,000","9,500",D,D,"117,000","7,500","39,000","5,500",D,D
                    Naturalized,"16,000","2,000",D,D,"13,000","2,000","3,000","1,000",D,D
               Non-U.S. citizen,"16,000","2,500",D,D,"12,000","2,000","3,000","1,500",D,D
                    Permanent resident,"10,000","2,500",D,D,"7,000","1,500","3,000","1,500",D,D
                    Temporary resident,"6,000","1,500",D,D,"5,000","1,500",D,D,D,D
          Non-S&E precollege/ other teacher,"821,000","39,500",D,D,D,D,"821,000","39,500",D,D
               U.S. citizen,"799,000","39,000",D,D,D,D,"799,000","39,000",D,D
                    Native-born,"748,000","37,500",D,D,D,D,"748,000","37,500",D,D
                    Naturalized,"51,000","6,500",D,D,D,D,"51,000","6,500",D,D
               Non-U.S. citizen,"22,000","5,000",D,D,D,D,"22,000","5,000",D,D
                    Permanent resident,"20,000","5,000",D,D,D,D,"20,000","5,000",D,D
                    Temporary resident,S,S,D,D,D,D,S,S,D,D
          Sales/ marketing,"1,419,000","55,000","1,394,000","55,000","10,000","3,500",S,S,"11,000","2,500"
               U.S. citizen,"1,359,000","53,000","1,333,000","53,500","10,000","3,500",S,S,"11,000","2,500"
                    Native-born,"1,206,000","50,500","1,183,000","50,500","9,000","3,500",S,S,"9,000","2,500"
                    Naturalized,"153,000","10,500","151,000","10,500","1,000",500,D,D,"2,000","1,000"
               Non-U.S. citizen,"60,000","6,500","60,000","6,500",D,D,D,D,D,D
                    Permanent resident,"49,000","5,500","49,000","5,500",D,D,D,D,D,D
                    Temporary resident,"12,000","3,500","12,000","3,500",D,D,D,D,D,D
          Social service/ related,"844,000","28,000","500,000","20,000","56,000","7,500","115,000","10,000","172,000","13,000"
               U.S. citizen,"822,000","27,500","485,000","19,500","55,000","7,000","114,000","10,000","168,000","12,500"
                    Native-born,"762,000","27,000","448,000","19,000","51,000","7,000","110,000","10,000","152,000","12,000"
                    Naturalized,"60,000","6,000","37,000","5,000","4,000","1,500","4,000","1,500","16,000","3,000"
               Non-U.S. citizen,"22,000","4,000","16,000","3,500",S,S,S,S,"4,000","2,000"
                    Permanent resident,"20,000","4,000","14,000","3,500",S,S,S,S,"4,000","2,000"
                    Temporary resident,"2,000","1,000",S,S,D,D,D,D,D,D
          Other non-S&E,"3,302,000","79,000","2,395,000","64,000","147,000","13,000","117,000","12,000","643,000","30,000"
               U.S. citizen,"3,159,000","77,000","2,269,000","61,500","141,000","13,000","113,000","12,000","636,000","29,500"
                    Native-born,"2,858,000","73,000","2,034,000","57,500","131,000","13,000","100,000","12,000","593,000","29,000"
                    Naturalized,"301,000","17,000","235,000","15,500","10,000","2,500","13,000","3,000","44,000","5,000"
               Non-U.S. citizen,"143,000","14,000","126,000","13,500","7,000","1,500","4,000","1,500","7,000","3,000"
                    Permanent resident,"111,000","12,500","98,000","12,000","4,000","1,500","3,000","1,500","6,000","3,000"
                    Temporary resident,"32,000","7,000","28,000","6,500","2,000","1,000",D,D,D,D
,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,
,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,
,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,
,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,
,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,
,,,,,,,,,,
