"Table 16-1. Median annual salaries of employed U.S. scientists and engineers at all degree levels, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
                    Hispanic or Latinoa ,"90,000","7,000","65,000","11,500","94,000","5,000","72,000","12,500",S,S,*,*,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"91,000","7,500","67,000","2,500","90,000","11,500","101,000","6,500","108,000","12,500","116,000","13,500","127,000","10,500",*,*,"105,000","30,000"
                         Black or African American,"94,000","8,500","33,000","12,500",*,*,S,S,S,S,D,D,D,D,D,D,D,D
                         White,"97,000","5,000","69,000","5,000","81,000","5,500","98,000","8,000","113,000","4,000","113,000","15,500","113,000","25,000","106,000","13,000","90,000","8,500"
                         Other racec,"99,000","8,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
"               Civil, including architectural/ sanitary engineers","80,000","1,500","56,000","2,500","68,000","3,000","84,000","3,500","86,000","3,000","90,000","2,500","95,000","4,500","92,000","6,000","81,000","9,000"
                    Hispanic or Latinoa ,"65,000","4,500","47,000","13,000","55,000","7,000","76,000","12,500","68,000","3,500","101,000","14,500","97,000","17,500",D,D,"79,000","13,000"
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"83,000","4,500","55,000","6,500","79,000","7,500","88,000","2,000","89,000","6,000","83,000","8,000","89,000","5,000","98,000","7,000","90,000","17,500"
                         Black or African American,"79,000","2,000","53,000","12,000","70,000","2,500","64,000","12,000",D,D,D,D,D,D,D,D,D,D
                         White,"80,000","1,500","57,000","3,000","68,000","1,000","84,000","4,000","87,000","4,000","89,000","3,500","97,000","5,000","89,000","6,500","79,000","12,000"
                         Other racec,"78,000","7,500","69,000","17,500",S,S,D,D,D,D,D,D,D,D,D,D,D,D
               Electrical/ computer hardware engineers,"99,000","3,500","75,000","1,000","84,000","2,500","102,000","5,000","110,000","8,500","106,000","3,000","110,000","8,000","114,000","9,000","105,000","2,000"
                    Hispanic or Latinoa ,"84,000","4,500","75,000","4,500","83,000","2,500","99,000","10,500","98,000","5,000","95,000","1,000","104,000","7,000",D,D,"100,000","21,000"
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"105,000","3,000","79,000","4,000","92,000","5,000","120,000","7,000","127,000","7,500","114,000","14,000","105,000","7,500","115,000","15,500","102,000","3,500"
                         Black or African American,"74,000","7,000","61,000","4,000","62,000","23,500","91,000","4,000","73,000","6,500","80,000","12,000",D,D,D,D,S,S
                         White,"100,000",500,"74,000","2,000","81,000","2,500","93,000","4,500","117,000","12,000","105,000","6,500","114,000","7,000","114,000","9,500","106,000","4,500"
                         Other racec,"98,000","4,500","68,000","1,000","90,000","16,000",*,*,S,S,D,D,D,D,D,D,D,D
               Industrial engineers,"79,000","2,000","64,000","4,000","75,000","5,500","94,000","6,000","87,000","6,000","78,000","2,500","83,000","6,000","78,000","9,500","96,000","10,500"
                    Hispanic or Latinoa ,"67,000","6,500",S,S,"72,000","18,000",S,S,*,*,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"79,000","4,500","67,000","1,500","79,000","4,500","105,000","7,000",*,*,D,D,D,D,D,D,D,D
                         Black or African American,"84,000","11,500","60,000","5,500",*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"79,000","1,500","65,000","6,000","70,000","8,000","84,000","3,500","88,000","8,000","78,000","2,500","85,000","8,500","78,000","5,000","96,000","11,000"
                         Other racec,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Mechanical engineers,"85,000","1,500","64,000","3,000","76,000","2,500","89,000","3,500","90,000","1,500","98,000","2,500","98,000","2,500","93,000","7,000","104,000","8,000"
                    Hispanic or Latinoa ,"78,000","5,500","66,000","5,000","72,000","2,000","83,000","16,000","72,000","21,000","96,000","30,000",D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"81,000","5,500","53,000","12,000","85,000","9,500","89,000","4,500","93,000","7,500","91,000","5,000","97,000","2,000","105,000","6,000","105,000","12,500"
                         Black or African American,"83,000","10,000","61,000","13,000","65,000","5,500",D,D,S,S,"84,000","14,500",*,*,S,S,D,D
                         White,"87,000","2,500","65,000","1,000","76,000","2,000","89,000","4,000","90,000",500,"100,000","2,500","98,000","2,500","90,000","5,000","102,000","8,500"
                         Other racec,"75,000","9,500","57,000","5,000","74,000","11,500",D,D,S,S,D,D,D,D,D,D,D,D
               Postsecondary teachers - engineering,"76,000","5,000","25,000","2,500","77,000","5,500","90,000","2,500","86,000","12,000","99,000","10,000","115,000","5,000","115,000","14,500","97,000","10,500"
                    Hispanic or Latinoa ,"88,000","1,000",*,*,*,*,*,*,*,*,*,*,*,*,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"75,000","7,500","16,000","7,000","79,000","3,500","89,000","8,500","110,000","6,000","111,000","13,500","118,000","4,000",*,*,*,*
                         Black or African American,S,S,*,*,S,S,*,*,D,D,*,*,D,D,D,D,D,D
                         White,"77,000","6,500","25,000","2,500","79,000","5,000","91,000","4,000","79,000","15,000","99,000","11,500","112,000","10,000","113,000","31,000","93,000","12,500"
                         Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Other engineers,"90,000","1,000","68,000","3,000","80,000","1,500","94,000","4,000","92,000","3,000","99,000","3,000","103,000","4,000","106,000","5,000","95,000","5,500"
                    Hispanic or Latinoa ,"76,000","7,500","58,000","6,000","71,000","6,000","87,000","14,000","73,000","31,500","79,000","6,500","98,000","8,000",D,D,"51,000","5,000"
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"86,000","4,500","62,000","7,000","82,000","4,000","100,000","8,500","99,000","7,000","97,000","7,500","106,000","33,000","93,000","16,000","90,000","7,000"
                         Black or African American,"92,000","7,000","58,000","17,000","84,000","8,500","99,000","3,000","92,000","6,000","71,000","8,000","119,000","13,000",S,S,S,S
                         White,"91,000","3,000","69,000","1,000","80,000","3,500","92,000","3,500","90,000","3,000","100,000","5,000","103,000","4,000","106,000","5,500","95,000","7,500"
                         Other racec,"92,000","11,000","69,000","30,500","45,000","18,000",D,D,D,D,D,D,D,D,D,D,D,D
     S&E-related occupations,"65,000",500,"50,000","1,000","60,000",500,"70,000",500,"77,000","3,500","77,000","4,000","72,000","4,500","80,000","1,000","79,000","5,500"
          Hispanic or Latinoa ,"58,000","1,500","47,000","4,000","59,000","1,000","58,000","5,000","76,000","4,500","95,000","14,500","48,000","8,500","84,000","7,500","60,000","13,000"
          Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Nativeb,"47,000","2,500",S,S,S,S,S,S,"45,000","12,000",D,D,D,D,D,D,D,D
               Asian,"80,000","1,000","57,000","5,500","70,000","7,500","85,000","1,500","90,000","10,500","97,000","13,500","92,000","12,500","69,000","8,000","95,000","10,000"
               Black or African American,"60,000","4,000","55,000","6,000","57,000","8,500","58,000","8,000","72,000","8,500","60,000","5,000","64,000","3,500","74,000","6,500","68,000","6,500"
               White,"65,000","1,500","50,000",500,"58,000","2,000","70,000",500,"74,000","2,000","75,000","2,000","74,000","4,000","81,000","3,500","77,000","6,000"
               Other racec,"75,000","6,000","57,000","5,500","74,000","13,500","89,000","5,000","101,000","25,000","104,000","20,500","57,000","4,500",S,S,"141,000","38,500"
          Health occupations,"63,000","1,000","52,000","1,500","58,000","3,000","69,000","1,000","70,000","1,500","70,000","1,500","65,000","5,000","73,000","5,500","80,000","2,500"
               Hispanic or Latinoa ,"54,000","5,000","47,000","4,500","49,000","9,000","47,000","10,000","72,000","10,000","84,000","18,500","45,000","6,500","68,000","29,000","75,000","6,000"
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"46,000","8,500",S,S,S,S,D,D,D,D,D,D,D,D,S,S,D,D
                    Asian,"79,000","5,000","55,000","7,000","65,000","6,500","85,000","1,000","74,000","6,500","77,000","12,000","82,000","13,500","66,000","8,500","99,000","6,500"
                    Black or African American,"60,000","2,500","50,000","6,500","53,000","9,500","64,000","14,500","87,000","23,500","69,000","11,500","64,000","3,500","74,000","10,500","68,000","16,500"
                    White,"62,000","1,000","52,000","2,500","56,000","2,500","69,000","1,500","70,000","3,000","68,000","5,000","64,000","5,000","74,000","3,500","78,000","5,500"
                    Other racec,"70,000","7,500","58,000","6,000","61,000","29,500","75,000","31,500","82,000","19,500","119,000","25,000",S,S,S,S,D,D
"          S&E managers, including health","110,000","2,500","84,000","6,000","90,000","3,500","110,000","2,000","120,000","2,000","124,000","3,000","122,000","7,000","129,000","5,500","125,000","4,000"
               Hispanic or Latinoa ,"94,000","7,500","65,000","28,500","89,000","16,500","84,000","13,500","100,000","12,000","122,000","2,000","100,000","14,500","84,000","21,000",S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"125,000","4,000","90,000","7,000","100,000","8,000","100,000","8,500","144,000","4,000","129,000","12,500","132,000","3,500","152,000","22,000","121,000","11,000"
                    Black or African American,"81,000","8,500","85,000","2,500","69,000",500,"112,000","26,500",S,S,D,D,S,S,S,S,S,S
                    White,"115,000","2,500","75,000","5,500","94,000","4,500","114,000","10,000","120,000","7,500","124,000","4,000","123,000","8,000","129,000","3,000","128,000","7,000"
                    Other racec,"104,000","2,000",S,S,"74,000","18,000","109,000","1,000",S,S,"100,000","3,500",D,D,D,D,D,D
          S&E precollege teacher,"48,000","1,500","40,000","2,000","48,000","3,000","50,000","2,000","59,000","1,500","52,000","4,500","54,000","6,000","56,000","9,500","44,000","5,000"
               Hispanic or Latinoa ,"50,000","5,500","45,000",500,"56,000","6,000","47,000","5,000","64,000","12,000","45,000","14,500",S,S,"53,000","15,500",S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"44,000",500,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"42,000","4,500","39,000","2,000","50,000","12,000",S,S,"62,000","13,000","67,000","4,500",*,*,S,S,S,S
                    Black or African American,"48,000","1,500","44,000","3,500","48,000",500,S,S,S,S,S,S,S,S,"41,000","12,000","36,000","6,500"
                    White,"48,000","1,500","40,000","1,000","48,000","3,500","50,000","5,000","58,000","3,500","52,000","4,000","50,000","6,000","59,000","10,500","41,000","8,500"
                    Other racec,"59,000",500,"39,000","7,000","58,000","10,000",S,S,D,D,S,S,S,S,D,D,D,D
          S&E technician/ technologist,"70,000","1,000","50,000","5,000","65,000","6,000","70,000","2,500","79,000","1,000","84,000","5,000","70,000","9,500","73,000","7,500","59,000","3,500"
               Hispanic or Latinoa ,"58,000","10,500","37,000","4,000","54,000","11,500","58,000",500,"81,000","16,500","101,000","21,000","44,000","12,000",S,S,S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"75,000","3,500","55,000","12,500","74,000","7,000","87,000","3,000","80,000","8,500","97,000","3,000","79,000","24,000","53,000","4,500","45,000","17,500"
                    Black or African American,"71,000","3,000","78,000","18,000","69,000","22,000",S,S,"69,000","1,500","59,000","18,000",D,D,"79,000","2,000",S,S
                    White,"70,000","3,500","48,000","3,500","60,000","3,500","69,000","6,000","81,000","2,500","81,000","5,500","82,000","12,000","74,000","8,500","60,000","5,000"
                    Other racec,"84,000",500,S,S,"84,000","6,500","84,000","5,000",D,D,D,D,D,D,D,D,D,D
          Other S&E-related,"70,000","4,500","52,000","4,500","63,000","2,000","65,000","13,000","80,000","7,000","75,000","3,000","51,000","20,000","99,000",500,"99,000","9,500"
               Hispanic or Latinoa ,"64,000","1,500",D,D,S,S,S,S,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"66,000","6,500","55,000","4,000","56,000","5,500",D,D,"47,000","17,000",S,S,D,D,D,D,D,D
                    Black or African American,"55,000","5,500",D,D,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"75,000","2,500","54,000","4,500","63,000","3,000","65,000","12,000","81,000","6,000","76,000","1,500",S,S,"100,000",500,"99,000","4,500"
                    Other racec,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     Non-S&E occupations,"55,000",500,"40,000","1,000","50,000",500,"60,000",500,"65,000","2,000","68,000","3,000","72,000","4,500","59,000","2,000","50,000","3,000"
          Hispanic or Latinoa ,"48,000","2,500","39,000","2,500","43,000","4,500","60,000","2,000","59,000","3,000","47,000","7,000","62,000","12,500","56,000","1,500","35,000","9,500"
          Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Nativeb,"39,000","8,500","36,000","2,500","32,000","5,500",S,S,"52,000","14,000",S,S,S,S,S,S,S,S
               Asian,"51,000","3,000","44,000","4,500","60,000","1,500","57,000","5,000","70,000","9,000","53,000","7,000","48,000","4,000","48,000","3,500","41,000","7,000"
               Black or African American,"48,000","2,000","38,000","4,000","48,000","2,500","55,000","6,500","58,000","8,000","50,000","7,000","54,000","2,000","47,000","4,000","40,000","7,000"
               White,"58,000","1,500","40,000","1,000","51,000","1,500","60,000","1,000","69,000","2,500","71,000","5,500","78,000","3,500","63,000","3,500","53,000","3,500"
               Other racec,"49,000","2,000","35,000","3,000","49,000","3,500","39,000","16,000","53,000","10,500","48,000","9,000","84,000","24,500","50,000","24,000","76,000",500
          Arts/ humanities/ related,"36,000","3,000","35,000","6,000","44,000","5,500","38,000","9,000","18,000","4,000","57,000","27,000","48,000","11,500","27,000","9,500",S,S
               Hispanic or Latinoa ,"31,000","6,500","11,000",500,"72,000","10,000","66,000","4,000",S,S,D,D,S,S,S,S,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"42,000","8,500","19,000","4,000","46,000","4,500","39,000","17,000","38,000","13,500","130,000","13,500",S,S,D,D,D,D
                    Black or African American,"20,000","6,500",S,S,S,S,"38,000","19,000",D,D,D,D,D,D,D,D,D,D
                    White,"38,000","3,000","48,000","6,500","40,000","8,500","30,000","8,500",S,S,"62,000","26,000",S,S,S,S,S,S
                    Other racec,S,S,S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D
          Management-related,"73,000","2,500","57,000","4,000","70,000","2,500","78,000","5,000","84,000","6,000","75,000","7,500","77,000","5,000","75,000","1,000","71,000","8,000"
               Hispanic or Latinoa ,"64,000","4,000","50,000","3,500","64,000","7,000","75,000","9,500","64,000","15,500","74,000","3,000","50,000","7,000","73,000","22,500","58,000","3,000"
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"61,000","26,500",S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"71,000","3,500","68,000","4,000","77,000","5,500","66,000","13,500","104,000","10,500","98,000","23,500","57,000","5,000","62,000","14,500","48,000","5,000"
                    Black or African American,"64,000","5,500","59,000","2,500","64,000","6,500","84,000","18,000","73,000","19,000","60,000","9,500",S,S,"72,000","22,000","80,000","30,500"
                    White,"75,000",500,"54,000","2,500","73,000","4,500","83,000","6,500","85,000","6,000","82,000","10,500","85,000","8,000","75,000","1,500","76,000","6,500"
                    Other racec,"63,000","4,500","60,000","13,000","54,000","4,500","69,000","7,000",S,S,S,S,S,S,D,D,"51,000","12,000"
          Non-S&E manager,"109,000","1,500","80,000","2,000","96,000","4,500","100,000","2,000","117,000","5,000","120,000","9,500","130,000","13,000","120,000","6,000","100,000","6,500"
               Hispanic or Latinoa ,"85,000","4,000","63,000",500,"83,000","9,500","109,000","13,000","67,000","6,000","107,000","16,500","126,000","9,500","88,000","15,000","80,000","19,500"
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"74,000","5,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"119,000","5,000","104,000","12,500","99,000","7,500","110,000","11,000","137,000","16,000","148,000","12,500","171,000","57,000","161,000","50,500","98,000","16,500"
                    Black or African American,"97,000","6,000","107,000","15,000","90,000","10,000","94,000","11,500","103,000","21,500","96,000","3,500","116,000","38,000","114,000","38,500","81,000","13,500"
                    White,"113,000","4,500","80,000","7,500","99,000","6,000","99,000","1,500","118,000","3,500","120,000","10,000","134,000","11,500","120,000","6,500","104,000","3,000"
                    Other racec,"88,000","15,500",D,D,"70,000","15,500","122,000","11,500","90,000","43,000","113,000","47,500","108,000","27,000",*,*,"78,000","6,500"
          Non-S&E postsecondary teacher,"51,000","1,500","37,000","13,500","41,000","5,000","59,000","4,500","65,000","3,000","77,000","5,500","53,000","1,500","63,000","16,500","24,000","5,500"
               Hispanic or Latinoa ,"50,000","4,500","21,000","3,000","58,000","14,000","59,000","4,500",S,S,"91,000","35,000",S,S,*,*,D,D
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"64,000","6,000",S,S,"67,000","17,500","65,000","4,000",S,S,"91,000","11,000",S,S,*,*,D,D
                    Black or African American,"53,000","1,500","43,000","14,500","28,000","6,500",S,S,"61,000","2,000",*,*,"52,000",500,S,S,"51,000","5,500"
                    White,"51,000","2,500","39,000","13,000","39,000","4,000","57,000","6,000","64,000","3,000","72,000","8,500","52,000","10,000","61,000","18,500","24,000","6,500"
                    Other racec,"57,000","2,000",S,S,"54,000","2,000",D,D,*,*,D,D,D,D,D,D,D,D
          Non-S&E precollege/ other teacher,"43,000","2,000","41,000","3,000","43,000","1,500","47,000","5,000","44,000","8,000","48,000","1,000","50,000","14,500","32,000","13,000","34,000","4,000"
               Hispanic or Latinoa ,"43,000","2,000","44,000","4,000","41,000","9,000","45,000","3,500","48,000","9,500","48,000","2,000","32,000","14,000","55,000","23,500",S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"37,000","17,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"24,000","6,500","53,000","15,500","47,000","5,000","21,000","3,000",S,S,"33,000","14,500",D,D,D,D,S,S
                    Black or African American,"48,000","4,000","49,000","11,000","48,000",500,"42,000",500,"30,000","8,500","49,000","22,500","19,000","9,500",S,S,"13,000","6,000"
                    White,"44,000","2,500","40,000","1,500","43,000","3,000","52,000","2,500","51,000","10,000","47,000","8,500","61,000","6,000","44,000","10,000","32,000","8,000"
                    Other racec,S,S,"66,000","9,500","30,000","1,500",S,S,S,S,S,S,D,D,D,D,D,D
          Sales/ marketing,"50,000",500,"31,000","2,000","50,000","2,000","59,000","3,500","70,000","3,000","63,000","7,000","65,000","1,000","53,000","5,500","40,000","2,000"
               Hispanic or Latinoa ,"40,000","4,000","35,000","2,000","38,000","5,000","62,000","10,500","65,000","3,500",S,S,"45,000","15,000","45,000","15,500","26,000","6,000"
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"50,000","4,000","39,000","7,000","67,000","4,500","56,000","11,500","41,000","16,000","37,000","18,500",S,S,S,S,"29,000","4,500"
                    Black or African American,"40,000","8,000","18,000","2,500","50,000","13,500","41,000","8,500","49,000","21,500","69,000","24,500",S,S,"35,000","11,000","45,000","3,000"
                    White,"52,000","2,500","32,000","2,500","50,000","3,000","60,000","3,000","75,000","8,000","65,000","8,500","70,000","5,500","57,000","4,500","41,000","3,500"
                    Other racec,"28,000","6,500","14,000","3,500",S,S,D,D,"79,000","1,000",S,S,D,D,D,D,S,S
          Social service/ related,"41,000","1,500","34,000","1,500","43,000","1,500","43,000","5,000","48,000","5,500","45,000","1,500","43,000","7,000","48,000","2,000","42,000","6,500"
               Hispanic or Latinoa ,"43,000","1,500","34,000","1,500","52,000","6,000","56,000","1,500","56,000","7,000","6,000","2,000","46,000","10,000",D,D,S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"43,000","6,500","34,000","5,500","52,000","13,500",S,S,"34,000","14,500",D,D,D,D,D,D,S,S
                    Black or African American,"40,000","2,500","35,000","1,500","40,000","2,000","33,000","8,500","51,000","20,500","31,000","2,000",S,S,"46,000","1,500","30,000","5,500"
                    White,"41,000","1,500","32,000","1,500","43,000","1,500","44,000","6,000","48,000","5,500","48,000","3,500","41,000","8,000","46,000","8,000","43,000","6,500"
                    Other racec,"43,000","2,000","43,000","5,000",S,S,S,S,D,D,D,D,D,D,D,D,D,D
          Other non-S&E,"40,000","1,500","33,000","2,000","40,000","1,000","49,000","1,500","47,000","3,000","45,000","7,000","45,000","4,500","48,000","3,000","37,000","4,000"
               Hispanic or Latinoa ,"38,000","3,000","33,000","3,000","34,000","1,000","47,000","4,500","40,000","11,000","25,000","12,000",S,S,"48,000","4,000","34,000","8,000"
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,S,S,*,*,S,S,S,S,D,D,D,D,D,D,S,S
                    Asian,"40,000","1,000","30,000","1,000","41,000","4,500","40,000","1,500","44,000","7,000","33,000","3,500","43,000","11,500","46,000","5,000","39,000","3,500"
                    Black or African American,"40,000","1,500","30,000",500,"40,000","2,000","42,000","7,500","47,000","2,500","43,000","9,000","54,000","9,000","42,000","4,500","28,000","11,500"
                    White,"42,000","1,500","34,000","1,500","43,000","4,500","49,000","1,000","49,000","4,500","52,000","7,000","46,000","8,000","49,000","7,000","36,000","4,500"
                    Other racec,"42,000","5,000","30,000","7,000","40,000","9,500","75,000","28,000","50,000","4,500","35,000","16,000","87,000","27,000","50,000","17,000",S,S
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
