"Table 11-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Level of highest degree, occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
                         White,"1,000",500,*,*,*,*,D,D,D,D,D,D,D,D,D,D,*,*
                         Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Mechanical engineers,"13,000","1,500","4,000","1,000","3,000",500,"2,000",500,"2,000",500,"1,000",500,*,*,*,*,"1,000",500
                    Hispanic or Latinoa ,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"6,000","1,000","2,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,D,D,*,*
                         Black or African American,*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"6,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,*,*,"1,000",500
                         Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Postsecondary teachers - engineering,"24,000","1,000","3,000",500,"4,000",500,"3,000",500,"3,000",500,"3,000",500,"3,000",500,"2,000",500,"3,000",500
                    Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,*,*,*,*,*,*,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"7,000","1,000","1,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,*,*
                         Black or African American,"1,000",500,*,*,*,*,*,*,D,D,*,*,D,D,D,D,D,D
                         White,"15,000","1,000","2,000",500,"2,000",500,"2,000",500,"2,000",500,"2,000",500,"2,000",500,"1,000",500,"2,000",500
                         Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Other engineers,"31,000","1,500","7,000","1,000","6,000","1,000","5,000","1,000","4,000","1,000","3,000",500,"2,000",500,"2,000",500,"2,000",500
                    Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"12,000","1,000","3,000","1,000","3,000","1,000","2,000",500,"2,000",500,"1,000",500,*,*,*,*,*,*
                         Black or African American,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"17,000","1,000","3,000","1,000","3,000",500,"3,000",500,"2,000",500,"2,000",500,"1,000",500,"1,000",500,"2,000",500
                         Other racec,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     S&E-related occupations,"168,000","10,500","34,000","5,000","24,000","2,500","29,000","5,000","26,000","3,500","19,000","2,000","15,000","4,000","11,000","2,500","10,000","1,500"
          Hispanic or Latinoa ,"9,000","3,000",S,S,"2,000","1,000","1,000",500,*,*,"1,000","1,000",*,*,*,*,S,S
          Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Native,"2,000","1,000",S,S,D,D,D,D,*,*,D,D,D,D,D,D,D,D
               Asian,"30,000","3,500","7,000","3,000","4,000","1,000","4,000","1,000","6,000","1,500","4,000","1,000","1,000",500,"1,000",500,"1,000",500
               Black or African American,"8,000","1,500","2,000","1,000","3,000","1,500","1,000",500,"1,000",500,*,*,*,*,*,*,D,D
               White,"114,000","7,500","19,000","3,000","15,000","2,000","23,000","5,000","19,000","3,500","13,000","2,000","9,000","1,000","9,000","2,500","8,000","1,000"
               Other racec,S,S,*,*,*,*,*,*,*,*,*,*,S,S,D,D,D,D
          Health occupations,"92,000","7,000","22,000","4,000","12,000","2,000","14,000","3,500","14,000","3,500","11,000","2,000","5,000","1,000","7,000","2,500","7,000","1,500"
               Hispanic or Latinoa ,"5,000","2,000",*,*,S,S,*,*,*,*,S,S,D,D,D,D,S,S
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,"1,000","1,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"15,000","3,500",S,S,"2,000",500,"2,000",500,"2,000","1,000","2,000","1,000","1,000",500,*,*,*,*
                    Black or African American,"3,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,*,*,D,D,D,D
                    White,"66,000","6,000","14,000","2,500","7,000","1,500","11,000","3,500","11,000","3,500","7,000","2,000","4,000","1,000","7,000","2,500","5,000","1,000"
                    Other racec,"1,000",500,*,*,*,*,*,*,D,D,*,*,D,D,D,D,D,D
"          S&E managers, including health","39,000","3,000","3,000","1,500","7,000","1,500","7,000","1,500","9,000","1,500","5,000","1,000","4,000","1,000","3,000",500,"2,000",500
               Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,*,*,*,*,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"8,000","1,000",*,*,"1,000",500,"1,000",500,"3,000","1,000","1,000",500,*,*,"1,000",500,*,*
                    Black or African American,"2,000","1,000",*,*,S,S,*,*,*,*,D,D,D,D,D,D,D,D
                    White,"28,000","2,500","2,000","1,500","4,000","1,500","6,000","1,500","5,000","1,000","4,000","1,000","4,000","1,000","2,000",500,"2,000",500
                    Other racec,*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
          S&E precollege teacher,"22,000","5,500","5,000","2,500","4,000","1,500",S,S,"2,000","1,000","1,000",500,S,S,*,*,*,*
               Hispanic or Latinoa ,S,S,D,D,D,D,*,*,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Black or African American,"2,000","1,500",S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"12,000","3,500","2,000","1,000","3,000","1,500",S,S,"2,000","1,000","1,000",500,*,*,*,*,*,*
                    Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          S&E technician/ technologist,"13,000","2,000","3,000","1,000","1,000",500,"4,000","1,500","2,000",500,"2,000",500,"1,000",500,D,D,S,S
               Hispanic or Latinoa ,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"6,000","1,000","2,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,D,D,D,D,D,D
                    Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"7,000","1,500","1,000",500,*,*,"2,000","1,000","1,000",500,"1,000",500,"1,000",500,D,D,*,*
                    Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Other S&E-related,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
               Hispanic or Latinoa ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"1,000",500,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     Non-S&E occupations,"279,000","9,000","39,000","4,000","36,000","3,000","38,000","3,000","45,000","4,000","37,000","3,500","28,000","3,000","25,000","2,500","32,000","3,000"
          Hispanic or Latinoa ,"14,000","2,500","2,000",500,"2,000",500,"2,000","1,000","2,000","1,000","1,000",500,"1,000",500,S,S,S,S
          Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Native,*,*,D,D,D,D,*,*,D,D,D,D,D,D,D,D,D,D
               Asian,"36,000","2,500","5,000","1,500","6,000","1,000","6,000","1,000","9,000","1,500","4,000","1,000","3,000","1,000","2,000",500,"2,000",500
               Black or African American,"18,000","2,500","3,000","1,000","5,000","1,500","2,000","1,000","4,000","1,000","2,000","1,000","1,000",500,S,S,*,*
               White,"206,000","8,500","26,000","3,500","22,000","2,500","28,000","3,000","30,000","3,500","29,000","3,000","23,000","3,000","21,000","2,500","26,000","2,000"
               Other racec,"5,000","1,000","2,000","1,000",S,S,*,*,*,*,"1,000",500,*,*,*,*,D,D
          Arts/ humanities/ related,"11,000","1,500","2,000","1,000","2,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"2,000",500
               Hispanic or Latinoa ,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"1,000",500,*,*,*,*,*,*,D,D,*,*,D,D,D,D,D,D
                    Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"9,000","1,500","1,000",500,"2,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"2,000",500
                    Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Management-related,"37,000","2,500","5,000","1,000","7,000","1,500","5,000","1,000","5,000","1,000","4,000","1,000","5,000","1,500","3,000","1,000","4,000","1,000"
               Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,*,*,*,*,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"7,000","1,000","1,000",500,"1,000",500,"1,000",500,"2,000","1,000","1,000",500,*,*,D,D,*,*
                    Black or African American,"1,000",500,*,*,*,*,*,*,*,*,*,*,*,*,D,D,*,*
                    White,"28,000","2,500","3,000","1,000","4,000","1,500","4,000","1,000","3,000","1,000","3,000","1,000","4,000","1,500","2,000","1,000","3,000","1,000"
                    Other racec,*,*,D,D,D,D,*,*,D,D,D,D,D,D,D,D,D,D
          Non-S&E manager,"90,000","4,500","6,000","1,500","9,000","1,500","10,000","1,500","17,000","2,000","15,000","2,000","12,000","1,500","11,000","1,500","10,000","1,000"
               Hispanic or Latinoa ,"3,000",500,*,*,"1,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,*,*
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"12,000","1,500",S,S,"1,000",500,"1,000",500,"3,000","1,000","2,000",500,"1,000",500,"1,000",500,"1,000",500
                    Black or African American,"8,000","1,500",S,S,"3,000","1,500","1,000",500,"2,000","1,000",*,*,S,S,*,*,*,*
                    White,"66,000","4,000","3,000","1,000","5,000","1,000","7,000","1,000","11,000","1,500","12,000","2,000","10,000","1,500","9,000","1,500","9,000","1,000"
                    Other racec,"1,000",500,D,D,D,D,*,*,D,D,*,*,D,D,*,*,D,D
          Non-S&E postsecondary teacher,"64,000","4,500","13,000","2,000","12,000","2,000","12,000","2,000","9,000","2,000","8,000","1,500","4,000","1,500","3,000","1,000","3,000","1,000"
               Hispanic or Latinoa ,"4,000","1,000","1,000",500,"1,000",500,"1,000",500,D,D,*,*,*,*,*,*,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"10,000","1,500","2,000","1,000","3,000","1,000","2,000","1,000","2,000","1,000","1,000",500,*,*,*,*,D,D
                    Black or African American,"3,000","1,000","1,000",500,*,*,*,*,"1,000","1,000",*,*,*,*,D,D,D,D
                    White,"46,000","4,000","8,000","2,000","8,000","1,500","9,000","2,000","6,000","1,500","6,000","1,500","3,000","1,000","3,000","1,000","3,000","1,000"
                    Other racec,"1,000","1,000",*,*,S,S,D,D,*,*,D,D,D,D,D,D,D,D
          Non-S&E precollege/ other teacher,"8,000","2,500",S,S,"1,000",500,S,S,"1,000",500,S,S,S,S,D,D,D,D
               Hispanic or Latinoa ,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"6,000","2,500",S,S,*,*,S,S,*,*,S,S,S,S,D,D,D,D
                    Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Sales/ marketing,"15,000","2,500","2,000","1,000","1,000",500,"1,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500,"5,000","2,500"
               Hispanic or Latinoa ,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"3,000",500,*,*,*,*,"1,000",500,"1,000",500,*,*,*,*,D,D,*,*
                    Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    White,"9,000","1,500","2,000","1,000",*,*,"1,000",500,"1,000",500,"1,000",500,"1,000",500,S,S,"3,000","1,000"
                    Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Social service/ related,"20,000","3,000","7,000","2,500","2,000","1,000","4,000","1,500","1,000",500,"1,000",500,"1,000",500,"2,000","1,500","1,000","1,000"
               Hispanic or Latinoa ,"1,000",500,*,*,*,*,S,S,D,D,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"1,000","1,000",D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Black or African American,"2,000","1,000",*,*,"1,000",500,S,S,*,*,*,*,D,D,D,D,D,D
                    White,"14,000","3,000","5,000","2,500","2,000","1,000","2,000","1,000","1,000",500,"1,000",500,"1,000",500,"2,000","1,500","1,000",500
                    Other racec,"2,000","1,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Other non-S&E,"33,000","4,500","3,000","1,500","2,000",500,"4,000","2,000","8,000","3,000","3,000","1,000","5,000","2,000","3,000","1,500","6,000","1,500"
               Hispanic or Latinoa ,"2,000","1,000",*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"3,000","1,000",*,*,*,*,*,*,*,*,*,*,S,S,*,*,*,*
                    Black or African American,"2,000","1,000",*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D
                    White,"27,000","4,000","3,000","1,500","1,000",500,"3,000","1,500","7,000","3,000","1,000",500,"4,000","2,000","2,000","1,000","6,000","1,500"
                    Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
