"Table 9-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                    Naturalized,"111,000","9,000","109,000","9,000",D,D,D,D,S,S
               Non-U.S. citizen,"32,000","4,500","32,000","4,500",D,D,D,D,D,D
                    Permanent resident,"29,000","4,500","29,000","4,500",D,D,D,D,D,D
                    Temporary resident,"4,000","1,500","4,000","1,500",D,D,D,D,D,D
          Social service/ related,"319,000","20,500","177,000","14,500","22,000","5,000","25,000","6,000","95,000","11,000"
               U.S. citizen,"312,000","20,000","174,000","14,500","22,000","5,000","25,000","6,000","91,000","10,500"
                    Native-born,"294,000","19,500","167,000","14,500","21,000","5,000","23,000","5,500","82,000","10,500"
                    Naturalized,"18,000","3,500","6,000","2,000",S,S,D,D,"9,000","2,500"
               Non-U.S. citizen,"7,000","2,500","3,000","1,500",D,D,D,D,S,S
                    Permanent resident,"6,000","2,000",S,S,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Other non-S&E,"2,176,000","69,000","1,580,000","52,000","99,000","11,500","67,000","8,500","431,000","28,500"
               U.S. citizen,"2,072,000","67,500","1,483,000","50,000","96,000","11,500","65,000","8,500","428,000","28,000"
                    Native-born,"1,857,000","64,000","1,310,000","46,500","89,000","11,500","57,000","8,500","400,000","28,000"
                    Naturalized,"216,000","15,000","172,000","13,500","7,000","2,500","8,000","2,500","28,000","4,000"
               Non-U.S. citizen,"104,000","13,000","97,000","12,500","2,000","1,000","2,000","1,000","3,000","1,500"
                    Permanent resident,"82,000","11,000","77,000","11,000","1,000",500,"1,000","1,000","3,000","1,500"
                    Temporary resident,"22,000","6,500","20,000","6,500","1,000","1,000",D,D,D,D
,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,
,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,
,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,
,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,
,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,
,,,,,,,,,,
