"Table 15-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
"Level of highest degree, occupation, and age (years)             ",,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
               50–59,"56,000","5,000",D,D,"61,000","6,000",S,S,"57,000","4,500","49,000","1,500"
               60–75,"47,000","7,000",D,D,"56,000","27,500",D,D,"47,000","7,000","56,000","16,000"
          Sales/ marketing,"65,000","5,500","122,000","38,000","65,000","6,000","82,000","15,000","41,000","1,500","62,000","4,500"
               < 30,"45,000","7,500",D,D,"45,000","7,000","48,000","6,000",D,D,"61,000","18,500"
               30–39,"79,000","7,000","92,000","23,000","80,000","13,000","82,000","30,000","35,000","11,000","75,000","5,500"
               40–49,"78,000","4,500",S,S,"78,000","4,000","117,000","10,500",D,D,"53,000","9,000"
               50–59,"61,000","14,500",D,D,"60,000","19,500",S,S,D,D,"78,000","19,000"
               60–75,"40,000","7,000",D,D,"41,000","5,000",D,D,D,D,S,S
          Social service/ related,"46,000","1,500",D,D,"50,000","1,500","42,000","2,000","44,000","2,500","46,000","1,500"
               < 30,"37,000","1,000",D,D,"38,000","3,000","41,000","5,500","35,000","5,000","37,000","1,000"
               30–39,"45,000","1,500",D,D,"48,000","3,000","41,000","5,500","43,000","6,000","44,000","1,500"
               40–49,"52,000","3,500",D,D,"55,000","4,500","40,000","2,500","60,000","9,000","52,000","3,500"
               50–59,"50,000","2,000",S,S,"52,000","4,000","51,000","4,000","44,000","14,500","52,000","4,000"
               60–75,"45,000","7,500",D,D,"58,000","6,500",S,S,"41,000","3,500","49,000","5,500"
          Other non-S&E,"37,000","2,500","42,000","10,000","43,000","3,000","40,000","4,500","22,000","3,000","38,000","5,000"
               < 30,"40,000","4,500","21,000","8,000","44,000","7,500","68,000","12,000","21,000","5,500","38,000","2,000"
               30–39,"38,000","1,500",S,S,"44,000","3,500","39,000","2,500","30,000","12,500","34,000","8,500"
               40–49,"46,000","6,000","36,000","6,000","50,000","7,500","43,000","5,000","33,000","15,000","49,000","3,000"
               50–59,"34,000","8,500",D,D,"40,000","6,000",S,S,"30,000","3,000","40,000","5,500"
               60–75,"24,000","6,500","41,000","3,500","41,000","8,000",S,S,"17,000","4,500","18,000","6,500"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
