"Table 15-1. Median annual salaries of employed U.S. scientists and engineers at all degree levels, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Occupation and age (years)             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
          Non-S&E manager,"109,000","1,500","120,000","6,000","110,000","2,000","118,000","5,500","93,000","5,500","103,000","6,500"
               < 30,"72,000","7,500","85,000","3,500","79,000","7,500",S,S,S,S,S,S
               30–39,"94,000","2,500","117,000","28,000","95,000","2,500","97,000","11,000","85,000","8,000","87,000","10,500"
               40–49,"119,000","1,000","120,000","3,500","119,000","1,000","122,000","13,000","99,000","12,000","113,000","4,000"
               50–59,"120,000","3,500","143,000","35,500","120,000","2,000","146,000","9,000","99,000","13,500","123,000","7,500"
               60–75,"101,000","5,000","127,000","15,000","102,000","5,000","119,000","27,000","73,000","14,000","100,000","12,500"
          Non-S&E postsecondary teacher,"51,000","1,500","16,000","1,000","51,000","3,000","62,000","3,000","51,000","1,000","52,000","2,000"
               < 30,"17,000","2,000",S,S,"24,000","5,500","18,000","2,500","17,000","2,000",S,S
               30–39,"41,000","8,000",D,D,S,S,"59,000","5,500","40,000","9,000",S,S
               40–49,"55,000","6,500",D,D,"64,000","6,500","60,000","3,500","54,000","6,500",S,S
               50–59,"70,000","8,500",D,D,"68,000","2,500","89,000","5,000","68,000","5,000","54,000",500
               60–75,"50,000","7,500",S,S,"44,000","8,500","62,000","6,500","50,000","6,500","75,000","3,500"
          Non-S&E precollege/ other teacher,"43,000","2,000","45,000",500,"44,000","2,500","46,000","2,500","44,000","2,000","44,000","8,500"
               < 30,"31,000","2,000",D,D,"25,000","3,000","50,000","1,000","31,000","2,000","30,000","1,500"
               30–39,"44,000","2,500",D,D,"40,000","3,000","45,000","8,500","45,000","2,500","46,000","7,000"
               40–49,"47,000","2,000",D,D,"48,000","2,000","46,000","1,500","47,000","2,000","45,000","4,000"
               50–59,"49,000","2,000",D,D,"56,000","4,500","35,000","11,000","49,000","2,000","49,000","1,500"
               60–75,"38,000","7,000",D,D,S,S,"23,000","1,000","38,000","7,000",S,S
          Sales/ marketing,"50,000",500,"55,000","10,000","50,000",500,"59,000","7,000","43,000","6,500","46,000","7,500"
               < 30,"31,000","2,000","35,000","9,000","31,000","2,000","35,000","6,500","26,000",500,"33,000","6,000"
               30–39,"59,000","1,500","41,000","10,000","60,000","1,000","75,000","10,000","57,000","2,000","45,000","5,500"
               40–49,"69,000","3,500","45,000","22,000","69,000","2,000","79,000","7,000","37,000","13,000","51,000","6,500"
               50–59,"51,000","3,000","57,000","24,000","51,000","3,500","64,000","18,000","47,000","11,500","51,000","9,000"
               60–75,"40,000","2,000",D,D,"40,000","2,500","45,000","10,500","41,000","3,500","37,000","9,500"
          Social service/ related,"41,000","1,500","32,000","5,000","43,000","1,500","36,000","4,000","35,000","1,500","42,000","1,500"
               < 30,"32,000","1,000",S,S,"32,000","1,000","35,000","1,500","30,000",500,"32,000","1,500"
               30–39,"43,000","1,500",D,D,"45,000","1,500","33,000","4,500","33,000","2,000","43,000","1,000"
               40–49,"45,000","1,000",D,D,"45,000","1,500","35,000","7,000","45,000","5,000","47,000","3,000"
               50–59,"48,000","1,500",D,D,"47,000","6,000","49,000","3,000","40,000","8,000","49,000","2,500"
               60–75,"40,000","4,000",D,D,"48,000","7,500",S,S,"38,000","4,500","43,000","4,000"
          Other non-S&E,"40,000","1,500","38,000","2,000","44,000","2,500","43,000","2,000","29,000","1,000","46,000","3,500"
               < 30,"31,000","1,500","38,000","3,500","32,000","1,500","35,000","7,500","21,000","7,000","34,000","1,000"
               30–39,"45,000","1,500",S,S,"47,000","2,500","44,000","3,000","38,000","15,000","55,000","3,500"
               40–49,"51,000","2,000","73,000","19,000","52,000","2,000","56,000","4,500","40,000","2,500","58,000","5,500"
               50–59,"44,000","3,000","51,000","17,000","45,000","1,500","44,000","11,000","30,000","2,000","49,000","1,500"
               60–75,"38,000","2,500","46,000","1,500","45,000","6,000","27,000","14,000","16,000","3,000","41,000","4,500"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
